"","targets","cues"
"192","ENGLISH","spell"
"193","ENGLISH","sonnet"
"194","ENGLISH","lit"
"195","ENGLISH","phrase"
"196","ENGLISH","french"
"197","BRIGHT","dim"
"198","BRIGHT","lit"
"199","BRIGHT","sunny"
"200","BRIGHT","shine"
"201","BRIGHT","vivid"
"202","BRIGHT","flashlight"
"203","BRIGHT","glow"
"204","BRIGHT","flash"
"205","BRIGHT","star"
"206","BRIGHT","highlight"
"207","BRIGHT","brilliant"
"208","BRIGHT","glare"
"209","BRIGHT","shiny"
"210","BRIGHT","yellow"
"211","BRIGHT","light"
"212","BRIGHT","lightning"
"213","BRIGHT","bold"
"214","BRIGHT","stars"
"215","BRIGHT","sunshine"
"216","BRIGHT","color"
"217","BRIGHT","smart"
"218","BRIGHT","sun"
"219","BRIGHT","golden"
"220","BRIGHT","gifted"
"221","SMOOTH","rough"
"222","SMOOTH","bumpy"
"223","SMOOTH","flat"
"224","SMOOTH","silk"
"225","SMOOTH","velvet"
"226","SMOOTH","slick"
"227","SMOOTH","satin"
"228","SMOOTH","rigid"
"229","SMOOTH","spread"
"230","SMOOTH","prickly"
"231","SMOOTH","bald"
"232","SMOOTH","crunchy"
"233","SMOOTH","shave"
"234","SMOOTH","surface"
"235","SMOOTH","glide"
"236","SMOOTH","skin"
"237","SMOOTH","sandpaper"
"238","SMOOTH","flow"
"239","SMOOTH","graceful"
"240","SMOOTH","rub"
"241","SMOOTH","vaseline"
"242","SMOOTH","soft"
"243","SMOOTH","felt"
"244","SMOOTH","operator"
"245","CIRCLE","square"
"246","CIRCLE","loop"
"247","CIRCLE","sphere"
"248","CIRCLE","diameter"
"249","CIRCLE","around"
"250","CIRCLE","round"
"251","CIRCLE","center"
"252","CIRCLE","triangle"
"253","CIRCLE","cycle"
"254","CIRCLE","dot"
"255","CIRCLE","hoop"
"256","CIRCLE","cylinder"
"257","CIRCLE","oval"
"258","CIRCLE","line"
"259","CIRCLE","tangent"
"260","CIRCLE","winner"
"261","CIRCLE","wheel"
"262","CIRCLE","arctic"
"263","CIRCLE","rectangle"
"264","CIRCLE","curve"
"265","CIRCLE","shape"
"266","CIRCLE","geometry"
"267","CIRCLE","unit"
"268","MOTHER","father"
"269","MOTHER","parent"
"270","MOTHER","daughter"
"271","MOTHER","relative"
"272","MOTHER","home"
"273","MOTHER","loving"
"274","MOTHER","relation"
"275","MOTHER","apron"
"276","MOTHER","family"
"277","MOTHER","guardian"
"278","MOTHER","mummy"
"279","MOTHER","nag"
"280","MOTHER","baby"
"281","MOTHER","helper"
"282","MOTHER","keeper"
"283","MOTHER","mary"
"284","MOTHER","fuss"
"285","MOTHER","wife"
"286","MOTHER","child"
"287","MOTHER","goose"
"288","MOTHER","kin"
"289","MOTHER","maiden"
"290","MOTHER","advice"
"291","VACATION","trip"
"292","VACATION","resort"
"293","VACATION","holiday"
"294","VACATION","tourist"
"295","VACATION","travel"
"296","VACATION","hotel"
"297","VACATION","hawaii"
"298","VACATION","visit"
"299","VACATION","tour"
"300","VACATION","luggage"
"301","VACATION","mexico"
"302","VACATION","paradise"
"303","VACATION","suitcase"
"304","VACATION","cruise"
"305","VACATION","planning"
"306","VACATION","honeymoon"
"307","VACATION","motel"
"308","VACATION","away"
"309","VACATION","baggage"
"310","VACATION","europe"
"311","VACATION","paris"
"312","VACATION","reservation"
"313","VACATION","weekend"
"314","CHEESE","cheddar"
"315","CHEESE","swiss"
"316","CHEESE","macaroni"
"317","CHEESE","grate"
"318","CHEESE","crackers"
"319","CHEESE","cottage"
"320","CHEESE","broccoli"
"321","CHEESE","cracker"
"322","CHEESE","pizza"
"323","CHEESE","ham"
"324","CHEESE","mouse"
"325","CHEESE","hamburger"
"326","CHEESE","omelet"
"327","CHEESE","melt"
"328","CHEESE","wine"
"329","CHEESE","bologna"
"330","CHEESE","cream"
"331","CHEESE","craft"
"332","CHEESE","dairy"
"333","CHEESE","noodles"
"334","CHEESE","mold"
"335","CHEESE","process"
"336","DESTROY","demolish"
"337","DESTROY","ruin"
"338","DESTROY","annihilate"
"339","DESTROY","create"
"340","DESTROY","destruction"
"341","DESTROY","build"
"342","DESTROY","kill"
"343","DESTROY","conquer"
"344","DESTROY","smash"
"345","DESTROY","make"
"346","DESTROY","disintegrate"
"347","DESTROY","break"
"348","DESTROY","damage"
"349","DESTROY","erode"
"350","DESTROY","condemn"
"351","DESTROY","explosion"
"352","DESTROY","construct"
"353","DESTROY","explode"
"354","DESTROY","restore"
"355","DESTROY","crush"
"356","DESTROY","diminish"
"357","DESTROY","rot"
"358","FINGER","hand"
"359","FINGER","nails"
"360","FINGER","thumb"
"361","FINGER","ring"
"362","FINGER","knuckle"
"363","FINGER","toes"
"364","FINGER","nail"
"365","FINGER","thimble"
"366","FINGER","fingernail"
"367","FINGER","digit"
"368","FINGER","flick"
"369","FINGER","splinter"
"370","FINGER","sticky"
"371","FINGER","touch"
"372","FINGER","trigger"
"373","FINGER","appendage"
"374","FINGER","point"
"375","FINGER","extremity"
"376","FINGER","wart"
"377","FINGER","toe"
"378","FINGER","joint"
"379","FINGER","blueprint"
"380","UNDERSTAND","comprehend"
"381","UNDERSTAND","perceive"
"382","UNDERSTAND","realize"
"383","UNDERSTAND","explain"
"384","UNDERSTAND","sympathetic"
"385","UNDERSTAND","know"
"386","UNDERSTAND","confuse"
"387","UNDERSTAND","compute"
"388","UNDERSTAND","concept"
"389","UNDERSTAND","perception"
"390","UNDERSTAND","accept"
"391","UNDERSTAND","clarify"
"392","UNDERSTAND","explanation"
"393","UNDERSTAND","acknowledge"
"394","UNDERSTAND","learning"
"395","UNDERSTAND","believe"
"396","UNDERSTAND","confusion"
"397","UNDERSTAND","grasp"
"398","UNDERSTAND","definition"
"399","UNDERSTAND","rationalize"
"400","UNDERSTAND","knowledge"
"401","UNDERSTAND","meaning"
"402","MEDICINE","prescription"
"403","MEDICINE","remedy"
"404","MEDICINE","pill"
"405","MEDICINE","ointment"
"406","MEDICINE","tylenol"
"407","MEDICINE","antidote"
"408","MEDICINE","aspirin"
"409","MEDICINE","advil"
"410","MEDICINE","drug"
"411","MEDICINE","excedrin"
"412","MEDICINE","cure"
"413","MEDICINE","doctor"
"414","MEDICINE","drugs"
"415","MEDICINE","medication"
"416","MEDICINE","tablet"
"417","MEDICINE","menthol"
"418","MEDICINE","treatment"
"419","MEDICINE","cold"
"420","MEDICINE","nurse"
"421","MEDICINE","clinic"
"422","MEDICINE","allergy"
"423","MEDICINE","syringe"
"424","CRIMINAL","suspect"
"425","CRIMINAL","convict"
"426","CRIMINAL","fugitive"
"427","CRIMINAL","outlaw"
"428","CRIMINAL","wanted"
"429","CRIMINAL","unlawful"
"430","CRIMINAL","jail"
"431","CRIMINAL","crime"
"432","CRIMINAL","villain"
"433","CRIMINAL","bandit"
"434","CRIMINAL","arrest"
"435","CRIMINAL","crook"
"436","CRIMINAL","murderer"
"437","CRIMINAL","prison"
"438","CRIMINAL","delinquent"
"439","CRIMINAL","evict"
"440","CRIMINAL","theft"
"441","CRIMINAL","law"
"442","CRIMINAL","prisoner"
"443","CRIMINAL","robber"
"444","CRIMINAL","handcuffs"
"445","CRIMINAL","robbery"
"446","PRIEST","nun"
"447","PRIEST","monk"
"448","PRIEST","rabbi"
"449","PRIEST","minister"
